Generation,MaxFitness,MinFitness,AvgFitness,SurvivalRate,AvgLifeTime,WeightVariance
125,1335.74,301.589,710.132,0,282.33,0.59629
126,606.462,300.527,505.592,0,241.14,0.590587
127,981.679,300.204,479.369,0,283.6,0.594669
128,1911,300.647,641.164,0,474.28,0.593552
129,1718.99,300.512,641.145,0.03,236.15,0.589202
130,1534.17,300.083,438.741,0,110.58,0.590532
131,861.403,300.065,350.546,0,1,0.585737
132,889.596,300.025,453.383,0.01,203.28,0.608743
133,1268.85,300.16,456.57,0.01,245.11,0.604024
134,1419.24,299.169,452.717,0.01,270.21,0.601858
135,926.392,300.693,468.038,0,450.91,0.602046
136,743.537,300.368,551.401,0,334.64,0.606499
137,1044.08,300.522,479.214,0,190.97,0.605345
138,742.125,300.19,364.986,0,106.82,0.604936
139,1014.05,299.767,573.278,0,507.92,0.621623
140,606.254,301.34,487.489,0,1,0.616773
141,722.573,302.083,625.755,0,142.5,0.624035
142,965.662,302.263,518.373,0,229.25,0.630076
143,1241.5,300.483,430.658,0,286.86,0.636244
144,876.893,300.639,461.838,0,64.32,0.640047
145,1122.06,301.592,576.436,0,484.81,0.641433
146,1292.24,300.64,673.261,0,487.2,0.654556
147,824.645,300.338,551.725,0,2.58,0.660104
148,548.63,298.388,390.744,0,417.14,0.673681
149,1144.04,301.227,581.476,0,15.52,0.673221
150,625.239,300.001,324.225,0,89.17,0.679886
151,877.805,301.439,527.644,0,191.92,0.676843
152,866.928,300.084,484.708,0,148.88,0.675387
153,981.347,304.133,518.389,0,357.29,0.6765
154,1266.68,307.254,613.91,0,425.69,0.672884
155,1140,302.746,692.844,0.05,510.78,0.672847
156,1273.09,300.624,587.977,0,426.18,0.673692
157,1286.15,302.698,665.466,0,564.33,0.683232
158,1009.34,303.412,561.854,0,1,0.669387
159,972.523,302.718,618.079,0,489.59,0.669223
160,707.949,301.518,558.779,0,270.71,0.668624
161,1008.91,300.181,583.361,0,1,0.680386
162,435.493,300.011,314.044,0,1,0.674242
163,588.651,300.956,486.705,0,611.31,0.683183
164,842.052,302.34,567.184,0,463.59,0.686744
165,888.742,301.458,539.765,0,182.75,0.684848
166,1149.2,302.672,569.291,0,221.65,0.691516
167,998.846,300.021,428.685,0,100.53,0.686792
168,1429.95,299.999,489.943,0,303.95,0.696534
169,1304.2,300.247,629.984,0,1,0.698273
170,733.233,301.876,543.829,0,374.45,0.692368
171,714.86,300.937,433.689,0,1,0.683933
172,857.747,300.071,415.56,0,1,0.689783
173,883.425,301.167,600.783,0,114.98,0.703913
174,463.513,299.987,351.652,0,1,0.721926
175,844.544,300.023,474.227,0,1,0.718204
176,1022.3,300.467,469.897,0.02,635.48,0.723529
177,1567.43,303.255,637.067,0,425.99,0.738602
178,1363.95,301.046,729.348,0,498.22,0.739114
179,1377.31,301.482,776.146,0,357.71,0.741663
180,883.219,300.152,464.671,0,59.09,0.753455
181,1048.51,300.672,521.488,0,1,0.750274
182,587.528,300.049,353.125,0,177.39,0.758774
183,1028.45,302.085,576.132,0,65.63,0.757909
184,1275.7,300.102,545.64,0,117.85,0.760742
185,580.684,300.116,369.032,0,85.46,0.740621
186,885.365,305.888,513.735,0,168.35,0.730854
187,1004.39,300.8,363.163,0.01,121.54,0.752367
188,1282.75,300.06,448.278,0,257.37,0.76477
189,857.735,300.06,380.601,0,1,0.781342
190,1277.02,300.042,458.607,0.01,259.18,0.774776
191,1447.14,300.739,481.169,0,24.33,0.772356
192,706.649,299.936,384.637,0.01,246.91,0.772829
193,1092.9,301.432,549.167,0.02,537.05,0.770974
194,1655.67,302.848,608.237,0.09,647.59,0.772438
195,1535.49,301.113,771.399,0,720.33,0.77367
196,873.178,300.91,531.686,0,185.28,0.775329
197,1147.39,300.022,419.009,0.02,158.08,0.777273
198,864.052,300.004,377.166,0,1,0.785087
199,317.397,299.992,305.561,0,66.44,0.786177
200,471.992,300.022,317.873,0,110.46,0.794776
201,1127.53,300.454,562.367,0,201.13,0.798803
202,861.328,300.412,482.024,0,209.55,0.797013
203,733.714,300.194,461.745,0,220.18,0.81103
204,1422.24,304.817,557.154,0,374.23,0.8039
205,702.16,301.18,447.843,0,300.69,0.806651
206,703.814,300.414,327.705,0,143.23,0.81131
207,851.486,301.828,435.097,0,143.4,0.807229
208,1154.78,301.964,664.52,0.06,621,0.826872
209,1673.83,302.063,779.741,0,226.79,0.831782
210,1258.07,299.769,486.439,0,99.79,0.827377
211,862.582,299.983,424.223,0.02,270.37,0.8311
212,1660.4,302.19,620.497,0,343.61,0.822084
213,583.243,300.916,405.575,0,12.27,0.818357
214,697.283,300.857,508.431,0,663.94,0.838708
215,1654.13,302.273,680.452,0.05,366.76,0.853894
216,1794.51,302.38,883.643,0,711.01,0.835839
217,1517.08,301.055,818.524,0.03,332.31,0.841034
218,1369.38,302.552,650.336,0,639.74,0.844715
219,1379.53,302.479,578.907,0,1,0.851776
220,1433.92,300.114,563.814,0.05,646.29,0.857131
221,1826.88,301.698,916.912,0,686.13,0.86515
222,984.481,303.441,671.947,0,625.31,0.872466
223,1405.28,305.164,753.051,0.04,753.06,0.880864
224,1985.87,300.685,699.525,0,312.49,0.884418
225,1448.97,300.083,572.635,0,39.75,0.886657
226,711.342,300,322.416,0,50.83,0.882537
227,836.264,301.476,449.389,0,246.29,0.88773
228,1171.89,303.528,715.764,0,464.55,0.888328
229,978.667,302.355,521.641,0,1,0.884175
230,1105.95,304.344,672.15,0,596.03,0.883086
231,1118,304.418,685.497,0,8.31,0.883833
232,317.451,299.991,300.758,0,1,0.88826
233,596.804,300.21,374.428,0,246.24,0.901884
234,1014.5,300.921,614.804,0.01,543.91,0.889118
235,1629.87,300.607,669.018,0,234.27,0.885169
236,978.748,300.148,452.241,0,106.62,0.890726
237,697.851,300.007,363.232,0,1,0.883719
238,717.534,299.861,404.272,0,381.18,0.882953
239,1560,299.524,622.793,0,1,0.871853
240,842.918,300.016,324.792,0,1,0.870881
241,848.806,300.071,375.732,0,214.43,0.874598
